transaction_id;created_at;type;source_type;card_name;card_last4;reference;amount;currency;status;gateway_ref;merchant_name;mcc;notes
WLF15-CD-0071;27/4/26 20:02;Chi tiêu;Th_;Zenith Main;3;Uber;-2,45;USD;Success;;;;
WLF15-CD-0155;27/4/26 10:47;Chi tiêu;Th_;Zenith Main;3;The Coffee House;-23,68;USD;Success;;;;
WLF15-CD-0262;27/4/26 09:00;N_p ti_n;Th_;Volcano EU;4;Top-up from wallet;491,29;EUR;Success;;;;
WLF15-WL-0121;27/4/26 09:00;Rút ti_n;Ví;-;;N_p vào th_ Volcano EU (VC04);-491,29;USD;Success;;;;
WLF15-WL-0044;27/4/26 08:00;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);974,85;USD;Success;;;;
WLF15-WL-0012;27/4/26 05:01;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);1903,52;USD;Success;;;;
WLF15-WL-0117;26/4/26 13:06;Rút ti_n;Ví;-;;N_p vào th_ Volcano Ads (VC01);-427;USD;Success;;;;
WLF15-CD-0259;26/4/26 13:06;N_p ti_n;Th_;Volcano Ads;1;Top-up from wallet;427;USD;Success;;;;
WLF15-CD-0258;26/4/26 09:06;N_p ti_n;Th_;Zenith Main;3;Top-up from wallet;468,44;USD;Success;;;;
WLF15-WL-0116;26/4/26 09:06;Rút ti_n;Ví;-;;N_p vào th_ Zenith Main (VC03);-468,44;USD;Success;;;;
WLF15-WL-0119;26/4/26 08:06;Rút ti_n;Ví;-;;N_p vào th_ Zenith Main (VC03);-363,49;USD;Success;;;;
WLF15-CD-0261;26/4/26 08:06;N_p ti_n;Th_;Zenith Main;3;Top-up from wallet;363,49;USD;Success;;;;
WLF15-WL-0118;26/4/26 06:06;Rút ti_n;Ví;-;;N_p vào th_ Zenith Main (VC03);-353,5;USD;Success;;;;
WLF15-CD-0260;26/4/26 06:06;N_p ti_n;Th_;Zenith Main;3;Top-up from wallet;353,5;USD;Success;;;;
WLF15-CD-0064;26/4/26 00:33;Chi tiêu;Th_;Zenith Main;3;Shopee;-137,44;USD;Success;;;;
WLF15-WL-0043;26/4/26 00:06;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);1464,81;USD;Success;;;;
WLF15-WL-0113;25/4/26 11:01;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1700,52;USD;Success;;;;
WLF15-WL-0115;25/4/26 09:15;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2171,25;USD;Success;;;;
WLF15-CD-0202;25/4/26 04:28;Chi tiêu;Ví;Volcano EU;4;FX fee for SHOPEE *ORDER;-2,08;EUR;Success;;;;
WLF15-CD-0201;25/4/26 04:27;Chi tiêu;Th_;Volcano EU;4;Shopee;-207,92;EUR;Success;;;;
WLF15-CD-0047;25/4/26 04:10;Chi tiêu;Th_;Zenith Main;3;Subscription FIGMA.COM;-15;USD;Success;;;;
WLF15-WL-0028;25/4/26 03:15;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);2129,54;USD;Success;;;;
WLF15-CD-0257;25/4/26 03:01;N_p ti_n;Th_;Volcano Subs;2;Top-up from wallet;327,87;USD;Success;;;;
WLF15-WL-0114;25/4/26 03:01;Rút ti_n;Ví;-;;N_p vào th_ Volcano Subs (VC02);-327,87;USD;Success;;;;
WLF15-WL-0042;24/4/26 23:01;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);2226,49;USD;Success;;;;
WLF15-CD-0090;24/4/26 06:24;Chi tiêu;Th_;Volcano Ads;1;Apple;-55,92;USD;Success;;;;
WLF15-WL-0112;24/4/26 01:36;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2039,34;USD;Success;;;;
WLF15-WL-0026;24/4/26 00:36;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);1759,13;USD;Success;;;;
WLF15-CD-0256;23/4/26 20:21;N_p ti_n;Th_;Volcano Subs;2;Top-up from wallet;251,69;USD;Success;;;;
WLF15-WL-0111;23/4/26 20:21;Rút ti_n;Ví;-;;N_p vào th_ Volcano Subs (VC02);-251,69;USD;Success;;;;
WLF15-WL-0027;23/4/26 16:39;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);247,89;USD;Success;;;;
WLF15-WL-0011;23/4/26 09:21;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);211,72;USD;Success;;;;
WLF15-CD-0153;22/4/26 14:34;Chi tiêu;Th_;Zenith Main;3;Vultr;-8,75;USD;Success;;;;
WLF15-CD-0068;22/4/26 13:37;Chi tiêu;Th_;Zenith Main;3;Grab;-16,33;USD;Success;;;;
WLF15-CD-0041;22/4/26 10:16;Chi tiêu;Th_;Volcano Ads;1;Subscription CANVA* PRO MONTHLY;-12,99;USD;Success;;;;
WLF15-CD-0255;22/4/26 06:38;N_p ti_n;Th_;Zenith Main;3;Top-up from wallet;488,67;USD;Success;;;;
WLF15-WL-0110;22/4/26 06:38;Rút ti_n;Ví;-;;N_p vào th_ Zenith Main (VC03);-488,67;USD;Success;;;;
WLF15-CD-0157;22/4/26 01:43;Chi tiêu;Th_;Volcano Subs;2;Shopee;-200,1;USD;Success;;;;
WLF15-CD-0119;21/4/26 16:26;Chi tiêu;Th_;Volcano Ads;1;The Coffee House;-34,11;USD;Success;;;;
WLF15-WL-0109;21/4/26 11:44;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2500,68;USD;Success;;;;
WLF15-WL-0010;21/4/26 10:38;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);444,29;USD;Success;;;;
WLF15-WL-0025;21/4/26 04:44;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);2512,67;USD;Success;;;;
WLF15-CD-0034;19/4/26 02:24;Chi tiêu;Th_;Volcano Ads;1;Subscription PADDLE.NET* NOTION;-10;USD;Success;;;;
WLF15-CD-0156;18/4/26 20:15;Chi tiêu;Th_;Volcano Subs;2;Shopee;-65,7;USD;Success;;;;
WLF15-CD-0254;17/4/26 06:59;N_p ti_n;Th_;Volcano Subs;2;Top-up from wallet;302,2;USD;Success;;;;
WLF15-WL-0108;17/4/26 06:59;Rút ti_n;Ví;-;;N_p vào th_ Volcano Subs (VC02);-302,2;USD;Success;;;;
WLF15-WL-0041;16/4/26 23:59;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);357,45;USD;Success;;;;
WLF15-CD-0252;16/4/26 05:02;N_p ti_n;Th_;Volcano Ads;1;Top-up from wallet;460,37;USD;Success;;;;
WLF15-WL-0106;16/4/26 05:02;Rút ti_n;Ví;-;;N_p vào th_ Volcano Ads (VC01);-460,37;USD;Success;;;;
WLF15-CD-0253;16/4/26 04:02;N_p ti_n;Th_;Volcano EU;4;Top-up from wallet;215,37;EUR;Success;;;;
WLF15-WL-0107;16/4/26 04:02;Rút ti_n;Ví;-;;N_p vào th_ Volcano EU (VC04);-215,37;USD;Success;;;;
WLF15-CD-0151;16/4/26 03:55;Chi tiêu;Th_;Volcano Subs;2;Amazon;-32,66;USD;Success;;;;
WLF15-WL-0105;15/4/26 22:02;Rút ti_n;Ví;-;;N_p vào th_ Volcano Ads (VC01);-499,14;USD;Success;;;;
WLF15-CD-0251;15/4/26 22:02;N_p ti_n;Th_;Volcano Ads;1;Top-up from wallet;499,14;USD;Success;;;;
WLF15-CD-0027;15/4/26 22:00;Chi tiêu;Th_;Zenith Main;3;Subscription ADOBE *CREATIVE CLD;-54,99;USD;Success;;;;
WLF15-WL-0104;15/4/26 18:02;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1098,53;USD;Success;;;;
WLF15-WL-0024;15/4/26 12:02;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);2318,76;USD;Success;;;;
WLF15-CD-0136;15/4/26 05:56;Chi tiêu;Ví;Volcano EU;4;FX fee for SHOPEE *ORDER;-1,99;EUR;Success;;;;
WLF15-CD-0135;15/4/26 05:55;Chi tiêu;Th_;Volcano EU;4;Shopee;-198,76;EUR;Success;;;;
WLF15-CD-0014;13/4/26 09:12;Chi tiêu;Th_;Volcano Subs;2;Subscription GOOGLE *YOUTUBEPREM;-13,99;USD;Success;;;;
WLF15-WL-0102;11/4/26 02:16;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1485,82;USD;Success;;;;
WLF15-WL-0103;10/4/26 23:16;Rút ti_n;Ví;-;;N_p vào th_ Volcano EU (VC04);-194,64;USD;Success;;;;
WLF15-CD-0250;10/4/26 23:16;N_p ti_n;Th_;Volcano EU;4;Top-up from wallet;194,64;EUR;Success;;;;
WLF15-CD-0134;10/4/26 18:31;Chi tiêu;Ví;Volcano EU;4;FX fee for SHOPEE *ORDER;-0,41;EUR;Success;;;;
WLF15-CD-0133;10/4/26 18:30;Chi tiêu;Th_;Volcano EU;4;Shopee;-41,2;EUR;Success;;;;
WLF15-WL-0040;10/4/26 12:16;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);1622,32;USD;Success;;;;
WLF15-CD-0008;10/4/26 04:39;Chi tiêu;Th_;Volcano Subs;2;Subscription Spotify P0F2K;-9,99;USD;Success;;;;
WLF15-CD-0110;10/4/26 03:09;Chi tiêu;Th_;Volcano Ads;1;Grab;-6,54;USD;Success;;;;
WLF15-CD-0165;9/4/26 19:18;Chi tiêu;Th_;Volcano Subs;2;Facebook Ads;-425,39;USD;Success;;;;
WLF15-WL-0101;9/4/26 06:24;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1286;USD;Success;;;;
WLF15-CD-0154;9/4/26 00:20;Chi tiêu;Th_;Zenith Main;3;Apple;-45,51;USD;Success;;;;
WLF15-CD-0172;8/4/26 22:32;Chi tiêu;Th_;Volcano Ads;1;Steam;-43,54;USD;Success;;;;
WLF15-WL-0039;8/4/26 22:24;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);1277,73;USD;Success;;;;
WLF15-CD-0084;8/4/26 01:16;Chi tiêu;Th_;Zenith Main;3;Steam;-35,1;USD;Success;;;;
WLF15-WL-0100;7/4/26 19:52;Rút ti_n;Ví;-;;N_p vào th_ Volcano Subs (VC02);-418,88;USD;Success;;;;
WLF15-CD-0249;7/4/26 19:52;N_p ti_n;Th_;Volcano Subs;2;Top-up from wallet;418,88;USD;Success;;;;
WLF15-CD-0002;7/4/26 09:52;Chi tiêu;Th_;Volcano Subs;2;Subscription NETFLIX.COM;-15,49;USD;Success;;;;
WLF15-WL-0099;7/4/26 08:52;Rút ti_n;Ví;-;;N_p vào th_ Volcano Ads (VC01);-515,14;USD;Success;;;;
WLF15-CD-0248;7/4/26 08:52;N_p ti_n;Th_;Volcano Ads;1;Top-up from wallet;515,14;USD;Success;;;;
WLF15-WL-0023;7/4/26 07:52;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);973,99;USD;Success;;;;
WLF15-CD-0085;6/4/26 21:22;Chi tiêu;Th_;Volcano Ads;1;Namecheap;-21,15;USD;Success;;;;
WLF15-CD-0124;6/4/26 11:59;Chi tiêu;Th_;Volcano Subs;2;Booking.com;-70,36;USD;Pending;;;;
WLF15-CD-0070;4/4/26 20:07;Chi tiêu;Th_;Volcano Ads;1;Uber;-30,2;USD;Success;;;;
WLF15-CD-0075;4/4/26 08:25;Chi tiêu;Th_;Volcano Subs;2;Google Ads;-104,79;USD;Success;;;;
WLF15-CD-0020;4/4/26 06:48;Chi tiêu;Th_;Zenith Main;3;Subscription OPENAI *CHATGPT SUBSCR;-20;USD;Success;;;;
WLF15-CD-0069;4/4/26 05:55;Chi tiêu;Th_;Volcano Ads;1;Namecheap;-53,2;USD;Success;;;;
WLF15-WL-0098;3/4/26 07:03;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1132,61;USD;Success;;;;
WLF15-WL-0038;2/4/26 17:03;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);1092,7;USD;Success;;;;
WLF15-WL-0096;2/4/26 05:08;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1885,83;USD;Success;;;;
WLF15-CD-0247;2/4/26 00:08;N_p ti_n;Th_;Volcano Subs;2;Top-up from wallet;331,09;USD;Success;;;;
WLF15-WL-0097;2/4/26 00:08;Rút ti_n;Ví;-;;N_p vào th_ Volcano Subs (VC02);-331,09;USD;Success;;;;
WLF15-WL-0009;1/4/26 19:08;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);2139,53;USD;Success;;;;
WLF15-CD-0187;1/4/26 10:09;Chi tiêu;Th_;Volcano Subs;2;Grab;-17,73;USD;Success;;;;
WLF15-CD-0171;29/3/26 22:28;Chi tiêu;Th_;Volcano Ads;1;Amazon;-32,45;USD;Success;;;;
WLF15-CD-0095;29/3/26 16:48;Chi tiêu;Th_;Zenith Main;3;Lazada;-216,69;USD;Success;;;;
WLF15-CD-0078;29/3/26 15:40;Chi tiêu;Th_;Volcano Ads;1;The Coffee House;-11,51;USD;Success;;;;
WLF15-CD-0058;29/3/26 07:29;Chi tiêu;Th_;Volcano Ads;1;Subscription NORDVPN *MONTHLY;-3,99;USD;Success;;;;
WLF15-CD-0126;29/3/26 00:53;Chi tiêu;Ví;Volcano EU;4;FX fee for SHOPEE *ORDER;-0,12;EUR;Success;;;;
WLF15-CD-0125;29/3/26 00:52;Chi tiêu;Th_;Volcano EU;4;Shopee;-11,73;EUR;Success;;;;
WLF15-CD-0108;28/3/26 22:03;Chi tiêu;Th_;Volcano Ads;1;Grab;-17,29;USD;Success;;;;
WLF15-CD-0182;28/3/26 09:56;Chi tiêu;Th_;Zenith Main;3;Amazon;-216,75;USD;Success;;;;
WLF15-CD-0052;28/3/26 03:22;Chi tiêu;Th_;Volcano Subs;2;Subscription CLOUDWAYS HOSTING;-16;USD;Success;;;;
WLF15-CD-0067;27/3/26 23:51;Chi tiêu;Th_;Volcano Subs;2;Apple;-25,07;USD;Success;;;;
WLF15-CD-0099;27/3/26 03:15;Chi tiêu;Th_;Zenith Main;3;Shopee;-15,84;USD;Success;;;;
WLF15-WL-0095;25/3/26 19:27;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1689,77;USD;Success;;;;
WLF15-WL-0022;25/3/26 07:27;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);1801,08;USD;Success;;;;
WLF15-CD-0046;25/3/26 03:00;Chi tiêu;Th_;Zenith Main;3;Subscription FIGMA.COM;-15;USD;Success;;;;
WLF15-CD-0185;24/3/26 12:38;Chi tiêu;Th_;Volcano Subs;2;Amazon;-84,8;USD;Success;;;;
WLF15-CD-0103;24/3/26 07:10;Chi tiêu;Th_;Volcano Subs;2;Grab;-20,38;USD;Success;;;;
WLF15-CD-0040;22/3/26 02:57;Chi tiêu;Th_;Volcano Ads;1;Subscription CANVA* PRO MONTHLY;-12,99;USD;Success;;;;
WLF15-CD-0181;20/3/26 05:33;Chi tiêu;Th_;Zenith Main;3;Lazada;-155,82;USD;Success;;;;
WLF15-CD-0174;19/3/26 04:35;Chi tiêu;Th_;Volcano Ads;1;Shopee;-18,79;USD;Success;;;;
WLF15-CD-0114;19/3/26 02:45;Chi tiêu;Th_;Volcano Subs;2;Facebook Ads;-248,04;USD;Success;;;;
WLF15-CD-0033;19/3/26 00:18;Chi tiêu;Th_;Volcano Ads;1;Subscription PADDLE.NET* NOTION;-10;USD;Success;;;;
WLF15-CD-0173;18/3/26 15:37;Chi tiêu;Th_;Volcano Subs;2;Shopee;-56,22;USD;Success;;;;
WLF15-CD-0184;16/3/26 11:18;Chi tiêu;Ví;Volcano EU;4;FX fee for VULTR.COM* CLOUD;-0,17;EUR;Success;;;;
WLF15-CD-0183;16/3/26 11:17;Chi tiêu;Th_;Volcano EU;4;Vultr;-17,16;EUR;Success;;;;
WLF15-CD-0026;16/3/26 01:42;Chi tiêu;Th_;Zenith Main;3;Subscription ADOBE *CREATIVE CLD;-54,99;USD;Success;;;;
WLF15-CD-0086;15/3/26 03:09;Chi tiêu;Th_;Volcano Subs;2;Lazada;-72,25;USD;Success;;;;
WLF15-CD-0079;13/3/26 13:58;Chi tiêu;Th_;Volcano Ads;1;AliExpress;-229,41;USD;Success;;;;
WLF15-CD-0138;13/3/26 10:37;Chi tiêu;Th_;Zenith Main;3;Shopee;-91,32;USD;Success;;;;
WLF15-CD-0013;13/3/26 05:03;Chi tiêu;Th_;Volcano Subs;2;Subscription GOOGLE *YOUTUBEPREM;-13,99;USD;Success;;;;
WLF15-CD-0167;13/3/26 00:29;Chi tiêu;Ví;Volcano EU;4;FX fee for LAZADA *MALL;-0,17;EUR;Success;;;;
WLF15-CD-0166;13/3/26 00:28;Chi tiêu;Th_;Volcano EU;4;Lazada;-16,5;EUR;Success;;;;
WLF15-CD-0107;12/3/26 02:41;Chi tiêu;Ví;Volcano EU;4;FX fee for NAMECHEAP* DOMAIN;-0,18;EUR;Success;;;;
WLF15-CD-0106;12/3/26 02:40;Chi tiêu;Th_;Volcano EU;4;Namecheap;-18,09;EUR;Success;;;;
WLF15-CD-0066;10/3/26 22:35;Chi tiêu;Th_;Volcano Ads;1;The Coffee House;-8,47;USD;Success;;;;
WLF15-WL-0092;10/3/26 09:41;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1583,66;USD;Success;;;;
WLF15-CD-0245;10/3/26 07:41;N_p ti_n;Th_;Zenith Main;3;Top-up from wallet;505,74;USD;Success;;;;
WLF15-WL-0093;10/3/26 07:41;Rút ti_n;Ví;-;;N_p vào th_ Zenith Main (VC03);-505,74;USD;Success;;;;
WLF15-CD-0007;10/3/26 04:17;Chi tiêu;Th_;Volcano Subs;2;Subscription Spotify P0F2K;-9,99;USD;Success;;;;
WLF15-CD-0246;10/3/26 00:41;N_p ti_n;Th_;Zenith Main;3;Top-up from wallet;180,01;USD;Success;;;;
WLF15-WL-0094;10/3/26 00:41;Rút ti_n;Ví;-;;N_p vào th_ Zenith Main (VC03);-180,01;USD;Success;;;;
WLF15-WL-0021;9/3/26 14:41;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);2245,76;USD;Success;;;;
WLF15-CD-0243;9/3/26 12:56;N_p ti_n;Th_;Volcano Ads;1;Top-up from wallet;304,41;USD;Success;;;;
WLF15-WL-0090;9/3/26 12:56;Rút ti_n;Ví;-;;N_p vào th_ Volcano Ads (VC01);-304,41;USD;Success;;;;
WLF15-CD-0244;9/3/26 10:56;N_p ti_n;Th_;Volcano EU;4;Top-up from wallet;241,91;EUR;Success;;;;
WLF15-WL-0091;9/3/26 10:56;Rút ti_n;Ví;-;;N_p vào th_ Volcano EU (VC04);-241,91;USD;Success;;;;
WLF15-WL-0088;9/3/26 01:56;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1468,07;USD;Success;;;;
WLF15-CD-0242;8/3/26 15:56;N_p ti_n;Th_;Zenith Main;3;Top-up from wallet;353,08;USD;Success;;;;
WLF15-WL-0089;8/3/26 15:56;Rút ti_n;Ví;-;;N_p vào th_ Zenith Main (VC03);-353,08;USD;Success;;;;
WLF15-WL-0020;8/3/26 14:56;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);2416,83;USD;Success;;;;
WLF15-WL-0084;8/3/26 11:30;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1331,82;USD;Success;;;;
WLF15-WL-0086;8/3/26 11:30;Rút ti_n;Ví;-;;N_p vào th_ Zenith Main (VC03);-411,84;USD;Success;;;;
WLF15-CD-0240;8/3/26 11:30;N_p ti_n;Th_;Zenith Main;3;Top-up from wallet;411,84;USD;Success;;;;
WLF15-WL-0087;8/3/26 08:30;Rút ti_n;Ví;-;;N_p vào th_ Volcano Ads (VC01);-166,46;USD;Success;;;;
WLF15-CD-0241;8/3/26 08:30;N_p ti_n;Th_;Volcano Ads;1;Top-up from wallet;166,46;USD;Success;;;;
WLF15-CD-0239;8/3/26 05:30;N_p ti_n;Th_;Volcano Ads;1;Top-up from wallet;481,25;USD;Success;;;;
WLF15-WL-0085;8/3/26 05:30;Rút ti_n;Ví;-;;N_p vào th_ Volcano Ads (VC01);-481,25;USD;Success;;;;
WLF15-WL-0008;7/3/26 22:30;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);2421,86;USD;Success;;;;
WLF15-WL-0082;7/3/26 20:04;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2241,53;USD;Success;;;;
WLF15-WL-0083;7/3/26 13:04;Rút ti_n;Ví;-;;N_p vào th_ Volcano Subs (VC02);-161,11;USD;Success;;;;
WLF15-CD-0238;7/3/26 13:04;N_p ti_n;Th_;Volcano Subs;2;Top-up from wallet;161,11;USD;Success;;;;
WLF15-WL-0007;7/3/26 07:04;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);2370,55;USD;Success;;;;
WLF15-CD-0001;7/3/26 03:19;Chi tiêu;Th_;Volcano Subs;2;Subscription NETFLIX.COM;-15,49;USD;Success;;;;
WLF15-WL-0080;5/3/26 17:26;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2216,74;USD;Success;;;;
WLF15-CD-0082;5/3/26 11:55;Chi tiêu;Th_;Volcano Subs;2;Namecheap;-33,89;USD;Success;;;;
WLF15-WL-0081;5/3/26 07:26;Rút ti_n;Ví;-;;N_p vào th_ Volcano Ads (VC01);-286,3;USD;Success;;;;
WLF15-CD-0237;5/3/26 07:26;N_p ti_n;Th_;Volcano Ads;1;Top-up from wallet;286,3;USD;Success;;;;
WLF15-WL-0006;5/3/26 01:26;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);2531,07;USD;Success;;;;
WLF15-WL-0077;4/3/26 19:44;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-978,09;USD;Success;;;;
WLF15-CD-0236;4/3/26 16:44;N_p ti_n;Th_;Zenith Main;3;Top-up from wallet;509,28;USD;Success;;;;
WLF15-WL-0079;4/3/26 16:44;Rút ti_n;Ví;-;;N_p vào th_ Zenith Main (VC03);-509,28;USD;Success;;;;
WLF15-CD-0019;4/3/26 09:02;Chi tiêu;Th_;Zenith Main;3;Subscription OPENAI *CHATGPT SUBSCR;-20;USD;Success;;;;
WLF15-CD-0235;4/3/26 06:44;N_p ti_n;Th_;Volcano Subs;2;Top-up from wallet;476,82;USD;Success;;;;
WLF15-WL-0078;4/3/26 06:44;Rút ti_n;Ví;-;;N_p vào th_ Volcano Subs (VC02);-476,82;USD;Success;;;;
WLF15-WL-0005;4/3/26 04:44;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);1828,43;USD;Success;;;;
WLF15-CD-0057;1/3/26 04:09;Chi tiêu;Th_;Volcano Ads;1;Subscription NORDVPN *MONTHLY;-3,99;USD;Success;;;;
WLF15-WL-0076;1/3/26 00:25;Rút ti_n;Ví;-;;N_p vào th_ Volcano Subs (VC02);-261,32;USD;Success;;;;
WLF15-CD-0234;1/3/26 00:25;N_p ti_n;Th_;Volcano Subs;2;Top-up from wallet;261,32;USD;Success;;;;
WLF15-CD-0051;28/2/26 07:31;Chi tiêu;Th_;Volcano Subs;2;Subscription CLOUDWAYS HOSTING;-16;USD;Success;;;;
WLF15-CD-0208;28/2/26 06:00;Chi tiêu;Th_;Zenith Old;5;Old card;-6,5;USD;Success;;;;
WLF15-WL-0004;28/2/26 04:25;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);392,97;USD;Success;;;;
WLF15-CD-0232;27/2/26 07:49;N_p ti_n;Th_;Zenith Main;3;Top-up from wallet;507,6;USD;Success;;;;
WLF15-WL-0074;27/2/26 07:49;Rút ti_n;Ví;-;;N_p vào th_ Zenith Main (VC03);-507,6;USD;Success;;;;
WLF15-WL-0073;27/2/26 03:49;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1154,46;USD;Success;;;;
WLF15-CD-0233;26/2/26 17:49;N_p ti_n;Th_;Volcano EU;4;Top-up from wallet;173,81;EUR;Success;;;;
WLF15-WL-0075;26/2/26 17:49;Rút ti_n;Ví;-;;N_p vào th_ Volcano EU (VC04);-173,81;USD;Success;;;;
WLF15-WL-0019;26/2/26 12:49;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);1780,6;USD;Success;;;;
WLF15-WL-0069;26/2/26 11:54;Rút ti_n;Ví;-;;N_p vào th_ Volcano Ads (VC01);-473,01;USD;Success;;;;
WLF15-CD-0228;26/2/26 11:54;N_p ti_n;Th_;Volcano Ads;1;Top-up from wallet;473,01;USD;Success;;;;
WLF15-WL-0068;26/2/26 00:54;Rút ti_n;Ví;-;;N_p vào th_ Volcano Subs (VC02);-382,98;USD;Success;;;;
WLF15-CD-0227;26/2/26 00:54;N_p ti_n;Th_;Volcano Subs;2;Top-up from wallet;382,98;USD;Success;;;;
WLF15-WL-0071;25/2/26 20:54;Rút ti_n;Ví;-;;N_p vào th_ Volcano Ads (VC01);-433,8;USD;Success;;;;
WLF15-CD-0230;25/2/26 20:54;N_p ti_n;Th_;Volcano Ads;1;Top-up from wallet;433,8;USD;Success;;;;
WLF15-CD-0229;25/2/26 17:54;N_p ti_n;Th_;Zenith Main;3;Top-up from wallet;187,15;USD;Success;;;;
WLF15-WL-0070;25/2/26 17:54;Rút ti_n;Ví;-;;N_p vào th_ Zenith Main (VC03);-187,15;USD;Success;;;;
WLF15-CD-0231;25/2/26 15:54;N_p ti_n;Th_;Zenith Main;3;Top-up from wallet;93,78;USD;Success;;;;
WLF15-WL-0072;25/2/26 15:54;Rút ti_n;Ví;-;;N_p vào th_ Zenith Main (VC03);-93,78;USD;Success;;;;
WLF15-WL-0003;25/2/26 14:54;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);1556,82;USD;Success;;;;
WLF15-CD-0045;25/2/26 02:13;Chi tiêu;Th_;Zenith Main;3;Subscription FIGMA.COM;-15;USD;Success;;;;
WLF15-CD-0101;24/2/26 00:28;Chi tiêu;Th_;Zenith Main;3;Booking.com;-596;USD;Success;;;;
WLF15-CD-0121;22/2/26 15:58;Chi tiêu;Th_;Volcano Subs;2;Google Ads;-302,13;USD;Success;;;;
WLF15-CD-0039;22/2/26 00:03;Chi tiêu;Th_;Volcano Ads;1;Subscription CANVA* PRO MONTHLY;-12,99;USD;Success;;;;
WLF15-CD-0207;21/2/26 01:00;Chi tiêu;Th_;Zenith Old;5;Old card;-41,2;USD;Success;;;;
WLF15-WL-0066;20/2/26 21:05;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1441,55;USD;Success;;;;
WLF15-WL-0067;20/2/26 07:05;Rút ti_n;Ví;-;;N_p vào th_ Volcano Subs (VC02);-285,23;USD;Success;;;;
WLF15-CD-0226;20/2/26 07:05;N_p ti_n;Th_;Volcano Subs;2;Top-up from wallet;285,23;USD;Success;;;;
WLF15-WL-0002;20/2/26 02:05;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);1775,44;USD;Success;;;;
WLF15-CD-0032;19/2/26 06:03;Chi tiêu;Th_;Volcano Ads;1;Subscription PADDLE.NET* NOTION;-10;USD;Success;;;;
WLF15-CD-0220;17/2/26 23:00;N_p ti_n;Th_;Zenith Old;5;Top-up from wallet;49,7;USD;Success;;;;
